title,creation_date,score,link,tags,is_answered
Value of type INTERFACE_HEAD() cannot be converted to INTERFACE_HEAD(),1686310843,0,https://stackoverflow.com/questions/76439856/value-of-type-interface-head-cannot-be-converted-to-interface-head,"vb.net, soap, saprfc",True
Filtering the data by Date column using PyRFC with RFC_READ_TABLE,1685469955,1,https://stackoverflow.com/questions/76367523/filtering-the-data-by-date-column-using-pyrfc-with-rfc-read-table,"python, c#, abap, saprfc, pyrfc",True
How to pass RFC destination to BAPI from noderfc module?,1682596371,1,https://stackoverflow.com/questions/76120080/how-to-pass-rfc-destination-to-bapi-from-noderfc-module,"node.js, abap, saprfc",True
SAP RFC libraries not working with IIS server,1678439816,1,https://stackoverflow.com/questions/75694209/sap-rfc-libraries-not-working-with-iis-server,"c#, iis, saprfc, sapnwrfc",False
Is it possible to install pyRFC onto a Databricks Spark cluster?,1678191910,2,https://stackoverflow.com/questions/75661949/is-it-possible-to-install-pyrfc-onto-a-databricks-spark-cluster,"python-3.x, databricks, saprfc, pyrfc",True
Can I use NW SDK client 7.5 for accessing NW 7.4 SAP server?,1678175548,1,https://stackoverflow.com/questions/75659252/can-i-use-nw-sdk-client-7-5-for-accessing-nw-7-4-sap-server,"saprfc, sap-basis, netweaver",True
Can I Create My JcoDestination File In Folder ? (JCO3 Java - SAP RFC Connection),1676300049,0,https://stackoverflow.com/questions/75437511/can-i-create-my-jcodestination-file-in-folder-jco3-java-sap-rfc-connection,"java, saprfc, jco, sapjco3",True
Python 3.11.1. Getting error Failed to establish a new connection: [Errno -5] No address associated with hostname,1675672092,1,https://stackoverflow.com/questions/75358914/python-3-11-1-getting-error-failed-to-establish-a-new-connection-errno-5-no,"python, django, docker-compose, saprfc",False
REDHAT 8 Apache PHP SAPNWRFC gkralik / php7-sapnwrfc only works from CLI - SAP,1675576450,0,https://stackoverflow.com/questions/75350394/redhat-8-apache-php-sapnwrfc-gkralik-php7-sapnwrfc-only-works-from-cli-sap,"php, apache, command-line-interface, saprfc",True
SAP Table Connector - How to querying SAP table using RFC from Azure Synapse,1672234069,1,https://stackoverflow.com/questions/74940848/sap-table-connector-how-to-querying-sap-table-using-rfc-from-azure-synapse,"azure-data-factory, azure-synapse, saprfc",True
Extracting data from SAP spool to Excel using BAPI_XBP_JOB_SPOOLLIST_READ and VBA,1672146930,0,https://stackoverflow.com/questions/74929741/extracting-data-from-sap-spool-to-excel-using-bapi-xbp-job-spoollist-read-and-vb,"excel, vba, ui-automation, sap-gui, saprfc",False
RFC_CALL_TRANSACTION_USING to print to spool using VBA,1670195311,1,https://stackoverflow.com/questions/74681787/rfc-call-transaction-using-to-print-to-spool-using-vba,"excel, vba, ui-automation, sap-gui, saprfc",True
.NET connection to SAP RFC table,1668112067,0,https://stackoverflow.com/questions/74394974/net-connection-to-sap-rfc-table,"c#, .net, saprfc",False
JCoFunction how to set a field of a structured parameter,1667932247,-2,https://stackoverflow.com/questions/74365581/jcofunction-how-to-set-a-field-of-a-structured-parameter,"saprfc, jco",False
Wildcards/patterns with .Tables(&quot;PARA&quot;) when executing RFC INST_EXECUTE_REPORT,1665739457,1,https://stackoverflow.com/questions/74067121/wildcards-patterns-with-tablespara-when-executing-rfc-inst-execute-report,"excel, vba, wildcard, saprfc",False
Calling web API&#39;s via SAP Web Dispatcher from c#,1664293766,0,https://stackoverflow.com/questions/73870385/calling-web-apis-via-sap-web-dispatcher-from-c,"c#, saprfc",True
Names of RFC parameters are unique?,1660400426,0,https://stackoverflow.com/questions/73345039/names-of-rfc-parameters-are-unique,"abap, saprfc, bapi",True
LP_RFC_CONNECTION_PARAMETER_Array_5 error when initializing SAPNWRFC on Windows Python,1660220583,0,https://stackoverflow.com/questions/73320606/lp-rfc-connection-parameter-array-5-error-when-initializing-sapnwrfc-on-windows,"python, windows, ctypes, saprfc",False
Get SMQ queues in Python?,1658778660,0,https://stackoverflow.com/questions/73114648/get-smq-queues-in-python,"python, saprfc, pyrfc",False
Cannot connect to SAP using PHP sapnwrfc with Connection Type Group,1655452378,0,https://stackoverflow.com/questions/72656045/cannot-connect-to-sap-using-php-sapnwrfc-with-connection-type-group,"php, saprfc",False
Need to decode CLUSTD column SAP Hana,1649234112,0,https://stackoverflow.com/questions/71763516/need-to-decode-clustd-column-sap-hana,"binary, decode, saprfc, pyrfc, read-text",False
NET 6 Blazor WASM Working With SAP Integration Problem,1646333323,0,https://stackoverflow.com/questions/71342299/net-6-blazor-wasm-working-with-sap-integration-problem,"blazor, .net-6.0, saprfc",True
SYSTEM_FAILURE when updating PO through excel VBA,1644954387,0,https://stackoverflow.com/questions/71132479/system-failure-when-updating-po-through-excel-vba,"excel, vba, abap, saprfc, bapi",False
Is it possible to return qRFC (SMQ2 transaction) errors to the caller?,1642694335,1,https://stackoverflow.com/questions/70789428/is-it-possible-to-return-qrfc-smq2-transaction-errors-to-the-caller,"abap, saprfc",True
.Net SAP Transaction restart from client,1637759844,2,https://stackoverflow.com/questions/70096790/net-sap-transaction-restart-from-client,"c#, .net, saprfc, sap-dotnet-connector",True
"Call method always returns false, how to troubleshoot? (SAP RFC Excel VBA)",1637160157,0,https://stackoverflow.com/questions/70006441/call-method-always-returns-false-how-to-troubleshoot-sap-rfc-excel-vba,"vba, saprfc",True
error &quot;object invoked has disconnected&quot; in 7.70 64 bits (was working in 32 bits),1635365283,0,https://stackoverflow.com/questions/69744854/error-object-invoked-has-disconnected-in-7-70-64-bits-was-working-in-32-bits,"excel, vba, saprfc, bapi",False
Passing multiple values to ABAP TEXT FILTER with VBA,1634625902,1,https://stackoverflow.com/questions/69626170/passing-multiple-values-to-abap-text-filter-with-vba,"vba, saprfc",True
SapNwRfc BAPI COMPANY LIST,1629800719,0,https://stackoverflow.com/questions/68905883/sapnwrfc-bapi-company-list,".net, saprfc",False
Call BAPI RFCs transactionally via JCo,1629195598,3,https://stackoverflow.com/questions/68815610/call-bapi-rfcs-transactionally-via-jco,"java, saprfc, jco, bapi",True
SAP table structure to proceed passing by table by XML,1626443646,0,https://stackoverflow.com/questions/68410260/sap-table-structure-to-proceed-passing-by-table-by-xml,"json, xml, abap, azure-logic-apps, saprfc",False
SAP integration with Azure Logic Apps - Cache / Metadata problem?,1626380922,1,https://stackoverflow.com/questions/68400407/sap-integration-with-azure-logic-apps-cache-metadata-problem,"azure, integration, azure-logic-apps, saprfc",True
How to check NOT NULL when calling RFC_READ_TABLE?,1623913693,1,https://stackoverflow.com/questions/68014515/how-to-check-not-null-when-calling-rfc-read-table,"python, sap-erp, saprfc, pyrfc",True
Launching BAPI programmatically from R?,1622558349,1,https://stackoverflow.com/questions/67790911/launching-bapi-programmatically-from-r,"r, business-objects, saprfc, bapi",True
Parameter to be passed for Field to read in SAP connector: Read SAP table(preview),1621259552,0,https://stackoverflow.com/questions/67571072/parameter-to-be-passed-for-field-to-read-in-sap-connector-read-sap-tableprevie,"azure, azure-logic-apps, saprfc, sap-data-dictionary",True
Unable to Import pyrfc in Python in Windows,1620611819,0,https://stackoverflow.com/questions/67463873/unable-to-import-pyrfc-in-python-in-windows,"python, saprfc, pyrfc",False
Why are some RFCs restricted by max. number of GUI sessions?,1620375555,2,https://stackoverflow.com/questions/67431348/why-are-some-rfcs-restricted-by-max-number-of-gui-sessions,"abap, saprfc",False
How to configure SAP SNC using Docker,1620128669,2,https://stackoverflow.com/questions/67384132/how-to-configure-sap-snc-using-docker,"dockerfile, sap-erp, saprfc, sap-basis",True
How to get the name of the calling program in an asynchronous background task?,1619736639,1,https://stackoverflow.com/questions/67326022/how-to-get-the-name-of-the-calling-program-in-an-asynchronous-background-task,"abap, saprfc",True
Bad Index when calling SAP RFC_READ_TABLE,1619436787,0,https://stackoverflow.com/questions/67265895/bad-index-when-calling-sap-rfc-read-table,"vba, runtime-error, abap, saprfc",True
How to install and support SAP NW RFC SDK on Heroku for node.js project,1615394307,0,https://stackoverflow.com/questions/66569100/how-to-install-and-support-sap-nw-rfc-sdk-on-heroku-for-node-js-project,"node.js, saprfc",False
new NWRfcSession() System.OutOfMemoryException,1614755997,1,https://stackoverflow.com/questions/66452373/new-nwrfcsession-system-outofmemoryexception,"c#, saprfc",False
SAP - Send values To RFC,1612175346,0,https://stackoverflow.com/questions/65991010/sap-send-values-to-rfc,saprfc,False
SAP UnicodeDecodeError: &#39;utf-8&#39; codec can&#39;t decode bytes in position 2-3: unexpected end of data while calling RFC_READ_TABLE,1611925143,0,https://stackoverflow.com/questions/65954961/sap-unicodedecodeerror-utf-8-codec-cant-decode-bytes-in-position-2-3-unexpe,"python, saprfc, pyrfc",False
MS Access cannot connect to SAP &quot;Cannot load LibRfc32.dll&quot; error - VBA - SAP,1611254485,1,https://stackoverflow.com/questions/65833821/ms-access-cannot-connect-to-sap-cannot-load-librfc32-dll-error-vba-sap,"vba, ms-access, dll, sap-gui, saprfc",True
FAGL_ACCOUNT_ITEMS_GL_API doesn&#39;t return any data by I_POSTING_DATES range,1609689201,3,https://stackoverflow.com/questions/65551798/fagl-account-items-gl-api-doesnt-return-any-data-by-i-posting-dates-range,"datetime, abap, saprfc, function-module",True
SAP web service issue in C#,1609330975,0,https://stackoverflow.com/questions/65506883/sap-web-service-issue-in-c,"c#, web-services, wsdl, saprfc",False
How to display a pdf from an SAP RFC in C#,1608156425,2,https://stackoverflow.com/questions/65331822/how-to-display-a-pdf-from-an-sap-rfc-in-c,"c#, pdf, binary, saprfc",True
ERR_NAME_NOT_RESOLVED when making ajax call to sap RFM in Cordova app on Android using SAPUI5,1607356465,0,https://stackoverflow.com/questions/65184993/err-name-not-resolved-when-making-ajax-call-to-sap-rfm-in-cordova-app-on-android,"jquery, ajax, cordova, saprfc",True
CS1929 C# &#39;RfcParameterClass&#39; does not contain a definition for &#39;Cast&#39;,1603085894,0,https://stackoverflow.com/questions/64421682/cs1929-c-rfcparameterclass-does-not-contain-a-definition-for-cast,"c#, linq, saprfc",True
BAPI/FM to search prod orders confirmations by workcenter and date?,1602760470,1,https://stackoverflow.com/questions/64370351/bapi-fm-to-search-prod-orders-confirmations-by-workcenter-and-date,"saprfc, bapi, function-module, s4hana, sap-r3",True
Why can&#39;t I create a silent SAP RFC connection,1602106827,0,https://stackoverflow.com/questions/64252702/why-cant-i-create-a-silent-sap-rfc-connection,"vba, saprfc",False
Connection with SAPRFC using PHP,1600681255,1,https://stackoverflow.com/questions/63989750/connection-with-saprfc-using-php,"php, saprfc",False
SAP.Middleware.Connector.RfcInvalidParameterException: Table line 0 out of range: table is empty,1597939806,1,https://stackoverflow.com/questions/63509106/sap-middleware-connector-rfcinvalidparameterexception-table-line-0-out-of-range,"c#, exception, console-application, saprfc",True
SAP:PARSING error while calling SAP sRFC FM,1596710933,0,https://stackoverflow.com/questions/63281987/sapparsing-error-while-calling-sap-srfc-fm,"mule, mule4, saprfc",True
Pyrfc connection return none,1595886120,0,https://stackoverflow.com/questions/63124004/pyrfc-connection-return-none,"python, abap, saprfc, pyrfc",False
Unique ID for every RFC call,1595598826,0,https://stackoverflow.com/questions/63075024/unique-id-for-every-rfc-call,"abap, saprfc, jco, pyrfc",True
"Is BAPI_MATERIAL_GET_ALL a BAPI, or just a RFC?",1594286740,0,https://stackoverflow.com/questions/62811689/is-bapi-material-get-all-a-bapi-or-just-a-rfc,"sap-erp, saprfc, bapi",True
Static or instance class for reuse between RFC calls?,1593701697,0,https://stackoverflow.com/questions/62699176/static-or-instance-class-for-reuse-between-rfc-calls,"oop, memory, abap, saprfc",False
Direct run of SQL query with PyRFC,1591775371,0,https://stackoverflow.com/questions/62298355/direct-run-of-sql-query-with-pyrfc,"sql, saprfc, function-module, pyrfc",False
SAP JCo Server for multiple (dynamic) SAP systems and repositories,1591170217,0,https://stackoverflow.com/questions/62167677/sap-jco-server-for-multiple-dynamic-sap-systems-and-repositories,"java, saprfc, jco, sapjco3",False
Serialization of RFC parameters in JCo,1590246884,1,https://stackoverflow.com/questions/61974195/serialization-of-rfc-parameters-in-jco,"java, abap, saprfc, jco",False
Error 61704 during calling RFC_READ_TABLE in VBA,1587630285,0,https://stackoverflow.com/questions/61382604/error-61704-during-calling-rfc-read-table-in-vba,"vba, ole, saprfc",True
Error when using node-rfc: Client invoked RFC call with closed connection,1587249734,1,https://stackoverflow.com/questions/61297262/error-when-using-node-rfc-client-invoked-rfc-call-with-closed-connection,"node.js, saprfc",True
Interfacing C++ with SAP ERP,1586972955,0,https://stackoverflow.com/questions/61235273/interfacing-c-with-sap-erp,"c++, sap-erp, saprfc",True
Best practice instead of hard-coded RFC destinations?,1586358123,4,https://stackoverflow.com/questions/61103803/best-practice-instead-of-hard-coded-rfc-destinations,"abap, saprfc, hardcoded",True
SAP BW Data Extraction using pyRFC fails with character limitation on Command text,1586272450,1,https://stackoverflow.com/questions/61083356/sap-bw-data-extraction-using-pyrfc-fails-with-character-limitation-on-command-te,"python, saprfc, bapi, pyrfc, sap-bw",False
SAP OLE Automation Logon() method parameters,1586181647,0,https://stackoverflow.com/questions/61061566/sap-ole-automation-logon-method-parameters,"vba, ole, saprfc",False
How to get parameters of RFC module in node-rfc?,1586172140,0,https://stackoverflow.com/questions/61058635/how-to-get-parameters-of-rfc-module-in-node-rfc,"node.js, saprfc, function-module",True
Data table empty on RFC_READ_TABLE,1586159770,1,https://stackoverflow.com/questions/61055275/data-table-empty-on-rfc-read-table,"abap, saprfc, opensql",False
ModuleNotFoundError: No module named &#39;__main__.pyrfc&#39;; &#39;__main__&#39; is not a package,1586029772,0,https://stackoverflow.com/questions/61033894/modulenotfounderror-no-module-named-main-pyrfc-main-is-not-a-packa,"python, json, odoo, saprfc, pyrfc",False
SAP JCo SAML authentication,1585566902,1,https://stackoverflow.com/questions/60929347/sap-jco-saml-authentication,"java, saml, saprfc, sapjco3",True
How to update email with BAPI_USER_CHANGE in pyrfc?,1585229309,1,https://stackoverflow.com/questions/60868381/how-to-update-email-with-bapi-user-change-in-pyrfc,"python, saprfc, bapi, sap-basis, pyrfc",True
RFC-enabled function module to update physical samples,1582795611,1,https://stackoverflow.com/questions/60429968/rfc-enabled-function-module-to-update-physical-samples,"sap-erp, saprfc, bapi, function-module",True
Create note in MB51 with GOS objects programmatically,1582720092,1,https://stackoverflow.com/questions/60413966/create-note-in-mb51-with-gos-objects-programmatically,"abap, saprfc, bapi, function-module",False
Attach file in MB51 with GOS objects programmatically,1582616404,1,https://stackoverflow.com/questions/60389639/attach-file-in-mb51-with-gos-objects-programmatically,"attachment, abap, saprfc, bapi",False
PHP 7.4.2 [extension] build errors on Windows,1582034997,0,https://stackoverflow.com/questions/60282802/php-7-4-2-extension-build-errors-on-windows,"php, windows, visual-studio-2019, saprfc",True
When connecting java to SAP(JCO) through RFC Getting Error,1581505042,1,https://stackoverflow.com/questions/60186778/when-connecting-java-to-sapjco-through-rfc-getting-error,"java, linux, jboss, jco, saprfc",True
How to reset a password via BAPI in a CUA environment?,1580392453,-3,https://stackoverflow.com/questions/59987614/how-to-reset-a-password-via-bapi-in-a-cua-environment,"c#, saprfc, bapi, sap-dotnet-connector",True
How to set SNC parameters for node-rfc?,1579617482,1,https://stackoverflow.com/questions/59843446/how-to-set-snc-parameters-for-node-rfc,"node.js, saprfc",True
Getting FAGLL03H report using pyrfc,1578954746,2,https://stackoverflow.com/questions/59725142/getting-fagll03h-report-using-pyrfc,"python-3.x, sap-erp, saprfc, pyrfc",True
Connect to RFC destination using several SAP users concurrently,1578909984,1,https://stackoverflow.com/questions/59714386/connect-to-rfc-destination-using-several-sap-users-concurrently,"asp.net, authentication, saprfc, sap-dotnet-connector",False
SAP and PHP Connection in WAMP server,1575468299,0,https://stackoverflow.com/questions/59177861/sap-and-php-connection-in-wamp-server,"php, connection, saprfc",False
BAPI_ACTTYPE_CHANGEMULTIPLE returns empty and doesn&#39;t change anything in the Database,1575376717,-2,https://stackoverflow.com/questions/59157330/bapi-acttype-changemultiple-returns-empty-and-doesnt-change-anything-in-the-dat,"c#, erp, sap-erp, saprfc, bapi",True
"VBA program executing SAP RFCs works in Excel 2016 on-prem, but not in Office 365 (Run-time error 20080008...Bad Variant Type)",1574197012,0,https://stackoverflow.com/questions/58942674/vba-program-executing-sap-rfcs-works-in-excel-2016-on-prem-but-not-in-office-36,"excel, vba, office365, saprfc",True
Illegal destination type &#39;G&#39; error while calling Identity Management ABAP APIs,1573813673,1,https://stackoverflow.com/questions/58875052/illegal-destination-type-g-error-while-calling-identity-management-abap-apis,"abap, saprfc",True
"SAP NCo multiple connections issue, one login after create function call one again after invoke call",1573727507,0,https://stackoverflow.com/questions/58854636/sap-nco-multiple-connections-issue-one-login-after-create-function-call-one-aga,"c#, saprfc, sap-basis, sap-dotnet-connector",True
SAP doc about configuration RFC user,1572352452,0,https://stackoverflow.com/questions/58607586/sap-doc-about-configuration-rfc-user,"abap, saprfc",True
Connect to SAP with PyRFC on pythonanywhere.com,1572118019,1,https://stackoverflow.com/questions/58574002/connect-to-sap-with-pyrfc-on-pythonanywhere-com,"python, pythonanywhere, saprfc, pyrfc",False
Connecting to SAP Open Hub through Data Factory,1571865799,1,https://stackoverflow.com/questions/58531170/connecting-to-sap-open-hub-through-data-factory,"azure, azure-data-factory, saprfc",True
PM Order change status to TECO - BAPI - VB ABAP,1571209942,1,https://stackoverflow.com/questions/58407692/pm-order-change-status-to-teco-bapi-vb-abap,"vb6, abap, saprfc, bapi",False
Standard deep nested data type?,1570188290,5,https://stackoverflow.com/questions/58235493/standard-deep-nested-data-type,"abap, saprfc, pyrfc",True
Determine the number of characters which are allowed in a field?,1570025264,0,https://stackoverflow.com/questions/58203229/determine-the-number-of-characters-which-are-allowed-in-a-field,"saprfc, pyrfc",True
The meaning of nuc_length and uc_length parameters in PyRFC?,1570009922,0,https://stackoverflow.com/questions/58199184/the-meaning-of-nuc-length-and-uc-length-parameters-in-pyrfc,"saprfc, pyrfc",True
SAP RFC: parameter_type RFTYPE_TABLE: meaning of uc_length?,1570007983,0,https://stackoverflow.com/questions/58198651/sap-rfc-parameter-type-rftype-table-meaning-of-uc-length,"saprfc, pyrfc",True
pyRFC Unable to connect through SNC,1567799406,0,https://stackoverflow.com/questions/57827816/pyrfc-unable-to-connect-through-snc,"python, python-3.x, saprfc, pyrfc",False
How to connect to SAP from VBA in 7.50+ when a message server and port are required,1566250748,0,https://stackoverflow.com/questions/57564245/how-to-connect-to-sap-from-vba-in-7-50-when-a-message-server-and-port-are-requi,saprfc,True
SAPNWRFC can&#39;t convert string to RFCTYPE_NUM,1564624872,2,https://stackoverflow.com/questions/57300940/sapnwrfc-cant-convert-string-to-rfctype-num,"php, saprfc",True
Accessing stack memory of RFC-called system,1564222337,2,https://stackoverflow.com/questions/57231124/accessing-stack-memory-of-rfc-called-system,"abap, saprfc",True
SAP NW RFC is using old function parameters. Cache? How to reset metadata?,1563975812,1,https://stackoverflow.com/questions/57184419/sap-nw-rfc-is-using-old-function-parameters-cache-how-to-reset-metadata,saprfc,True
String and nested structure in import/export parameters of RFC,1563872320,0,https://stackoverflow.com/questions/57160375/string-and-nested-structure-in-import-export-parameters-of-rfc,"abap, saprfc",True
How to pass parameters to SAP BAPI from Excel VBA,1563578592,0,https://stackoverflow.com/questions/57120571/how-to-pass-parameters-to-sap-bapi-from-excel-vba,"excel, vba, parameters, saprfc, bapi",False
Read CDPOS/CDHDR Sap tables using vbscript,1562605057,0,https://stackoverflow.com/questions/56939505/read-cdpos-cdhdr-sap-tables-using-vbscript,"vbscript, saprfc",True
RFC error &quot;Element BAPIRETURN1 of container metadata ... is unknown&quot;,1562317491,3,https://stackoverflow.com/questions/56899936/rfc-error-element-bapireturn1-of-container-metadata-is-unknown,"c#, abap, saprfc, sap-dotnet-connector",True
Testing BizTalk SAP Installation,1562241495,0,https://stackoverflow.com/questions/56887455/testing-biztalk-sap-installation,".net, biztalk, saprfc, netweaver",True
RFC destination authentication from Non-SAP system,1562165979,0,https://stackoverflow.com/questions/56872988/rfc-destination-authentication-from-non-sap-system,"saprfc, jco",True
SAP RFC Connection with VBA - BAD VARIANT TYPE,1559735041,0,https://stackoverflow.com/questions/56459823/sap-rfc-connection-with-vba-bad-variant-type,".net, vba, sap-gui, saprfc",False
JCO_ERROR_RESOURCE: Destination ABAP_AS_WITHOUT_POOL does not exist... error while connecting via JCo,1558356059,0,https://stackoverflow.com/questions/56221250/jco-error-resource-destination-abap-as-without-pool-does-not-exist-error-whi,"java, saprfc, sapjco3",True
How to solve RFC_CONVERSION_FIELD error in SAP?,1557392427,2,https://stackoverflow.com/questions/56055822/how-to-solve-rfc-conversion-field-error-in-sap,"abap, saprfc, pyrfc",False
Determine RFC caller?,1557387567,3,https://stackoverflow.com/questions/56054439/determine-rfc-caller,"abap, saprfc",True
"Several aRFC with WAIT, how to synchronize access to variable in callback?",1556960801,5,https://stackoverflow.com/questions/55981042/several-arfc-with-wait-how-to-synchronize-access-to-variable-in-callback,"parallel-processing, abap, saprfc",True
Return binary data via RFC,1556882337,3,https://stackoverflow.com/questions/55968755/return-binary-data-via-rfc,"abap, saprfc, pyrfc",True
SAP RFC GUI capable?,1556524946,-3,https://stackoverflow.com/questions/55899203/sap-rfc-gui-capable,"abap, saprfc, pyrfc",False
Data gets truncated in SAP RFC,1556199536,3,https://stackoverflow.com/questions/55850646/data-gets-truncated-in-sap-rfc,"abap, saprfc, pyrfc",True
CL_SALV_BS_RUNTIME_INFO returns empty reference via RFC,1556181331,1,https://stackoverflow.com/questions/55845072/cl-salv-bs-runtime-info-returns-empty-reference-via-rfc,"abap, saprfc",True
Debugging under RFC user possible?,1555579142,3,https://stackoverflow.com/questions/55742890/debugging-under-rfc-user-possible,"debugging, abap, sap-gui, saprfc",True
Make RFC calls logging,1554303188,1,https://stackoverflow.com/questions/55498139/make-rfc-calls-logging,"logging, abap, saprfc",True
Return dynamically-typed table rows via RFC?,1553867930,3,https://stackoverflow.com/questions/55419056/return-dynamically-typed-table-rows-via-rfc,"abap, saprfc, opensql, function-module",True
SAP.Middleware.Connector.RfcSerializationException: End mark of RFCID.TableContLZ not found,1553626897,0,https://stackoverflow.com/questions/55364526/sap-middleware-connector-rfcserializationexception-end-mark-of-rfcid-tablecontl,"c#, saprfc",True
Excel VBA Connection to SAP RFC,1550781781,1,https://stackoverflow.com/questions/54815900/excel-vba-connection-to-sap-rfc,"vba, sap-gui, saprfc",False
SAP L_TO_CANCEL doesn&#39;t cancel transfer order,1547984325,0,https://stackoverflow.com/questions/54276049/sap-l-to-cancel-doesnt-cancel-transfer-order,"python, sap-erp, saprfc, pyrfc",False
Performance of /ui2/cl_json serialization,1546599194,0,https://stackoverflow.com/questions/54037544/performance-of-ui2-cl-json-serialization,"json, abap, saprfc, pyrfc",True
RFC support on Cloud Foundry,1545235099,1,https://stackoverflow.com/questions/53854916/rfc-support-on-cloud-foundry,"saprfc, sap-cloud-sdk, sap-cloud-foundry",True
SAP NetWeaver RFC SDK Documentation?,1545211691,-3,https://stackoverflow.com/questions/53848156/sap-netweaver-rfc-sdk-documentation,"abap, saprfc",True
Correct message server port (msserv)?,1545210803,0,https://stackoverflow.com/questions/53847912/correct-message-server-port-msserv,"abap, saprfc, pyrfc",True
PyRFC: Connect via mshost (not ashost),1545144892,0,https://stackoverflow.com/questions/53835695/pyrfc-connect-via-mshost-not-ashost,"python, abap, saprfc, pyrfc",True
Incorrect InputRFC format after getBytes,1544087677,0,https://stackoverflow.com/questions/53647994/incorrect-inputrfc-format-after-getbytes,"java, parsing, inputstream, saprfc",False
Get stacktrace of errors from PyRFC call?,1543847011,5,https://stackoverflow.com/questions/53595739/get-stacktrace-of-errors-from-pyrfc-call,"abap, sentry, saprfc, pyrfc",True
How to write RFC services in Java?,1543025991,-2,https://stackoverflow.com/questions/53454647/how-to-write-rfc-services-in-java,"java, jakarta-ee, saprfc, netweaver",True
WSAECONNREFUSED: Connection refused while establishing connection via PyRFC,1542171968,0,https://stackoverflow.com/questions/53293504/wsaeconnrefused-connection-refused-while-establishing-connection-via-pyrfc,"python, vba, saprfc, pyrfc",True
How to find the correct ABAP function corresponding to SAP FRONTEND action,1541599649,1,https://stackoverflow.com/questions/53191092/how-to-find-the-correct-abap-function-corresponding-to-sap-frontend-action,"abap, saprfc, sap-dotnet-connector",True
