title,creation_date,score,link,tags,is_answered
Can SAP GUI scripts be executed from an ABAP program?,1723720670,0,https://stackoverflow.com/questions/78874841/can-sap-gui-scripts-be-executed-from-an-abap-program,"abap, sap-gui",True
Find out which field in SAP has focus / is the active field with VBA (Excel),1719326544,0,https://stackoverflow.com/questions/78668043/find-out-which-field-in-sap-has-focus-is-the-active-field-with-vba-excel,"excel, vba, focus, sap-gui",True
Sent each SAP command to another sub and execute it for error handling,1719305386,0,https://stackoverflow.com/questions/78666288/sent-each-sap-command-to-another-sub-and-execute-it-for-error-handling,"vba, error-handling, scripting, sap-gui",True
"Python and SAP GUI Scripting Error : pywintypes.com_error: (-2147221020, &#39;Invalid syntax&#39;, None, None)",1718362384,0,https://stackoverflow.com/questions/78622536/python-and-sap-gui-scripting-error-pywintypes-com-error-2147221020-invali,"python, win32com, sap-gui",False
Does SAP GUI scripting with python3 require you to release the connection or is it handled by the garbage collection?,1718183065,0,https://stackoverflow.com/questions/78611640/does-sap-gui-scripting-with-python3-require-you-to-release-the-connection-or-is,"python, vba, garbage-collection, sap-gui",False
Export table from SAP and immediately open the new Excel file,1715773636,0,https://stackoverflow.com/questions/78483714/export-table-from-sap-and-immediately-open-the-new-excel-file,"excel, vba, sap-gui",False
SAP GUI VBA &quot;Application.DisplayAlerts = False&quot;,1715431849,0,https://stackoverflow.com/questions/78464678/sap-gui-vba-application-displayalerts-false,"excel, vba, sap-gui",True
How to get text of an element SAP GUI scripting,1715206529,0,https://stackoverflow.com/questions/78451375/how-to-get-text-of-an-element-sap-gui-scripting,"excel, vba, sap-gui",False
Windows Task Scheduler not working with &#39;Run whether user is logged on or not&#39;,1715179979,0,https://stackoverflow.com/questions/78449422/windows-task-scheduler-not-working-with-run-whether-user-is-logged-on-or-not,"windows, powershell, windows-task-scheduler, sap-gui",False
SAP Excel extract files which open up after macro ran through the code,1715092468,-1,https://stackoverflow.com/questions/78443263/sap-excel-extract-files-which-open-up-after-macro-ran-through-the-code,"excel, vba, sap-gui",False
Excel VBA not copying over strings,1715018562,-1,https://stackoverflow.com/questions/78438388/excel-vba-not-copying-over-strings,"excel, vba, copy, sap-gui",False
Why GetCellValue of GuiGridView isn&#39;t getting the value?,1713923494,0,https://stackoverflow.com/questions/78375630/why-getcellvalue-of-guigridview-isnt-getting-the-value,"automation, vbscript, sap-gui",False
Use one session for multiple sub calls,1708012950,-1,https://stackoverflow.com/questions/78002222/use-one-session-for-multiple-sub-calls,sap-gui,False
Not pickable object using multiprocessing in SAP GUI with Python,1705951555,0,https://stackoverflow.com/questions/77862286/not-pickable-object-using-multiprocessing-in-sap-gui-with-python,"python, pickle, pywin32, sap-gui, dill",True
SAP GridView Get value,1705839530,0,https://stackoverflow.com/questions/77854752/sap-gridview-get-value,"excel, vba, sap-gui",True
Change properties of WebView2 runtime embedded in SAP GUI?,1705584434,3,https://stackoverflow.com/questions/77839754/change-properties-of-webview2-runtime-embedded-in-sap-gui,"microsoft-edge, abap, webview2, sap-gui, dynpro",True
SAP MIGO Dynamic ID,1705499883,0,https://stackoverflow.com/questions/77833008/sap-migo-dynamic-id,"excel, vba, sap-gui, sap-erp",False
SAP GUI Scripting VBA - checking the Dynamic ID,1704455300,0,https://stackoverflow.com/questions/77764376/sap-gui-scripting-vba-checking-the-dynamic-id,"excel, vba, sap-gui",True
How to fill all column in SAP GUI SCRIPT by IF / IFEND,1703048033,0,https://stackoverflow.com/questions/77689272/how-to-fill-all-column-in-sap-gui-script-by-if-ifend,"sap-gui, rpa",False
Paste text from SAP into Excel,1701680147,1,https://stackoverflow.com/questions/77598214/paste-text-from-sap-into-excel,"excel, vba, sap-gui",True
How to handle &quot;Login not possible (error in license check) in SAP GUI,1701238928,1,https://stackoverflow.com/questions/77568960/how-to-handle-login-not-possible-error-in-license-check-in-sap-gui,sap-gui,False
How do I perform automated reporting in a new SAP session?,1701086934,0,https://stackoverflow.com/questions/77556781/how-do-i-perform-automated-reporting-in-a-new-sap-session,"python, reporting, sap-gui",False
Script VBA to fill File name in SAP GUI process,1700660853,0,https://stackoverflow.com/questions/77530479/script-vba-to-fill-file-name-in-sap-gui-process,"vba, sap-gui",False
Unable to GetCellValue from GUIGridView in sap-gui,1700593454,1,https://stackoverflow.com/questions/77525358/unable-to-getcellvalue-from-guigridview-in-sap-gui,"java, sap-gui",True
SAP GUI on other device &#39;The control could not be found by id.&#39;,1700218670,0,https://stackoverflow.com/questions/77501129/sap-gui-on-other-device-the-control-could-not-be-found-by-id,"python, scripting, sap-gui",False
How to make variable the row number in argument of FindByID,1700204927,0,https://stackoverflow.com/questions/77499862/how-to-make-variable-the-row-number-in-argument-of-findbyid,"excel, vba, sap-gui",False
C# Equivalent to Successful VBA Command capturing SAP GUI Client,1700160560,0,https://stackoverflow.com/questions/77497348/c-equivalent-to-successful-vba-command-capturing-sap-gui-client,"c#, vba, sap-gui",False
Script to download attachment from Equipment in SAP IE03,1698786665,0,https://stackoverflow.com/questions/77399096/script-to-download-attachment-from-equipment-in-sap-ie03,"excel, vba, sap-gui",False
Can SAP GUI interactions be captured without a SAPGui scripting recorder?,1697377202,0,https://stackoverflow.com/questions/77296915/can-sap-gui-interactions-be-captured-without-a-sapgui-scripting-recorder,"python, sap-gui",False
How to identify when SAP GUI Scripting doesn&#39;t enter a transaction with VBA,1697116884,-1,https://stackoverflow.com/questions/77280987/how-to-identify-when-sap-gui-scripting-doesnt-enter-a-transaction-with-vba,"excel, vba, sap-gui",False
SAP Automation on multiple screens,1696416339,-2,https://stackoverflow.com/questions/77228892/sap-automation-on-multiple-screens,"excel, vba, sap-gui",True
Fill transaction fields via SAPGUI shortcut?,1695286607,0,https://stackoverflow.com/questions/77148673/fill-transaction-fields-via-sapgui-shortcut,"transactions, sap-gui, shortcut-file",False
how to identify message pop-up with SAP GUI script?,1695058195,-1,https://stackoverflow.com/questions/77129258/how-to-identify-message-pop-up-with-sap-gui-script,"python, vba, sap-gui",False
"Disable a script is attempting to access SAP GUI, not via the SAP GUI option",1694701443,-1,https://stackoverflow.com/questions/77105844/disable-a-script-is-attempting-to-access-sap-gui-not-via-the-sap-gui-option,"excel, vba, sap-gui",False
Why does the same win32.com GetObject call (same line of code) only in certain circumstances find &#39;SAPGUI&#39; in the Running Object Table,1694694717,0,https://stackoverflow.com/questions/77104909/why-does-the-same-win32-com-getobject-call-same-line-of-code-only-in-certain-c,"python, excel, vba, winapi, sap-gui",False
Error field not found in SM37 for jobs which don&#39;t exist,1692687642,0,https://stackoverflow.com/questions/76950799/error-field-not-found-in-sm37-for-jobs-which-dont-exist,"excel, vba, sap-gui, sap-basis",False
SAP Unicode Error calling Function Module in VBA,1692273425,0,https://stackoverflow.com/questions/76921292/sap-unicode-error-calling-function-module-in-vba,"excel, vba, unicode, sap-gui, saprfc",False
VBA Excel Macro stops working when a dialog box appears in SAP,1692003496,0,https://stackoverflow.com/questions/76897579/vba-excel-macro-stops-working-when-a-dialog-box-appears-in-sap,"vba, sap-gui",False
Sap Logon Vba how to log in or reuse opened session,1691655295,0,https://stackoverflow.com/questions/76873819/sap-logon-vba-how-to-log-in-or-reuse-opened-session,"excel, vba, sap-gui",False
Excel VBA / SAP GUI: how to get Cell Text value on CV04N transaction?,1691418288,0,https://stackoverflow.com/questions/76852654/excel-vba-sap-gui-how-to-get-cell-text-value-on-cv04n-transaction,"excel, vba, sap-gui",False
How to connect Eclipse to remote SAP server via RDP?,1691052505,0,https://stackoverflow.com/questions/76826364/how-to-connect-eclipse-to-remote-sap-server-via-rdp,"eclipse, connection, rdp, sap-gui, abap-adt",False
SAP GUI Manage system messages popup,1691050173,-1,https://stackoverflow.com/questions/76826071/sap-gui-manage-system-messages-popup,"ui-automation, sap-gui",True
Test automation : element recognition differs in 2 SAP environments,1690984461,0,https://stackoverflow.com/questions/76820601/test-automation-element-recognition-differs-in-2-sap-environments,"ui-automation, rpa, sap-gui",True
SAP VB.NET interop code to read a GuiTableControl object into a Blue Prism collection?,1690807875,0,https://stackoverflow.com/questions/76803814/sap-vb-net-interop-code-to-read-a-guitablecontrol-object-into-a-blue-prism-colle,"vb.net, sap-gui, blueprism",False
VBA error 438 - object does not accept property or method,1689985135,0,https://stackoverflow.com/questions/76741857/vba-error-438-object-does-not-accept-property-or-method,"excel, vba, sap-gui",False
How can I use VBA to close Workbooks opened in a separate instance of Excel?,1689281192,0,https://stackoverflow.com/questions/76683132/how-can-i-use-vba-to-close-workbooks-opened-in-a-separate-instance-of-excel,"excel, vba, office365, sap-gui",True
How to Select all data from SAP GUI window with VBA,1689142961,0,https://stackoverflow.com/questions/76667641/how-to-select-all-data-from-sap-gui-window-with-vba,"vba, sap-gui",False
SAP GUI script with LiveConnect: java.security.AccessControlException,1687426603,0,https://stackoverflow.com/questions/76530501/sap-gui-script-with-liveconnect-java-security-accesscontrolexception,"javascript, java, sap-gui",False
Upload XLSX with GUI_UPLOAD in a system 7.00,1687369299,-2,https://stackoverflow.com/questions/76525897/upload-xlsx-with-gui-upload-in-a-system-7-00,"xlsx, abap, sap-gui, sap-erp",True
SAP GUI Connection not working after update to .NET 6,1687262813,0,https://stackoverflow.com/questions/76514526/sap-gui-connection-not-working-after-update-to-net-6,"c#, .net, wsh, sap-gui",False
Can&#39;t create new SAP GUI connection using win32com.client in Python - troubleshooting help needed,1685538454,0,https://stackoverflow.com/questions/76373839/cant-create-new-sap-gui-connection-using-win32com-client-in-python-troublesho,"python, authentication, rpa, sap-gui",False
VBA does not recognize expressions,1684358026,0,https://stackoverflow.com/questions/76276246/vba-does-not-recognize-expressions,"excel, vba, sap-gui",False
I am trying to write VBA Script for running SAP T-code ZN_BSEG,1684347463,-3,https://stackoverflow.com/questions/76275103/i-am-trying-to-write-vba-script-for-running-sap-t-code-zn-bseg,"excel, vba, sap-gui",False
"VBA SAP GUI, How to get row coordinates of the material classification which is selected by search",1683047129,0,https://stackoverflow.com/questions/76157256/vba-sap-gui-how-to-get-row-coordinates-of-the-material-classification-which-is,"excel, vba, sap-gui",True
Script an SAP GUI window when I have more than one,1682676849,0,https://stackoverflow.com/questions/76128571/script-an-sap-gui-window-when-i-have-more-than-one,"vba, sap-gui",True
Connection Between SAP GUI and VBA,1680725290,0,https://stackoverflow.com/questions/75943592/connection-between-sap-gui-and-vba,"excel, vba, string-concatenation, sap-gui, sap-erp",True
Failed to open the SAP GUI for Java: No compatible installation of SAP GUI for Java was found,1680246519,0,https://stackoverflow.com/questions/75895758/failed-to-open-the-sap-gui-for-java-no-compatible-installation-of-sap-gui-for-j,"java, eclipse, sap-gui",True
Save Excel file in SAP GUI with Python,1680106001,0,https://stackoverflow.com/questions/75879641/save-excel-file-in-sap-gui-with-python,"python, pywin32, pyautogui, sap-gui, sap-erp",False
SAP GUI - vba code to handle error/warning messages,1679664531,0,https://stackoverflow.com/questions/75834261/sap-gui-vba-code-to-handle-error-warning-messages,"excel, vba, sap-gui",False
ALV-Grid: Start transaction when clicking on value,1679580601,0,https://stackoverflow.com/questions/75824104/alv-grid-start-transaction-when-clicking-on-value,"gridview, abap, sap-gui, sap-hr",True
A pop-up window pauses the macro during the extraction SAP table into a spreadsheet,1679328778,0,https://stackoverflow.com/questions/75792739/a-pop-up-window-pauses-the-macro-during-the-extraction-sap-table-into-a-spreadsh,"excel, datatable, vbscript, save, sap-gui",False
Wait for the file to be downloaded and then continue,1679301519,0,https://stackoverflow.com/questions/75788032/wait-for-the-file-to-be-downloaded-and-then-continue,"excel, vba, delay, sap-gui",True
Context Menu for SAP GUI export not appear when pressed with VBA,1678825165,-1,https://stackoverflow.com/questions/75737999/context-menu-for-sap-gui-export-not-appear-when-pressed-with-vba,"excel, vba, export, sap-gui",True
LoadRunner _ SAP_GUI_VA01_orderCreation,1677753438,0,https://stackoverflow.com/questions/75614280/loadrunner-sap-gui-va01-ordercreation,"loadrunner, sap-gui",False
Importing Spreedsheet file from SAP GUI - VBA error 9 subscript out of range while using Workbooks.Close,1676660018,0,https://stackoverflow.com/questions/75488273/importing-spreedsheet-file-from-sap-gui-vba-error-9-subscript-out-of-range-whi,"excel, vba, runtime-error, sap-gui",False
Get the cell value to SAP field,1676383174,0,https://stackoverflow.com/questions/75448897/get-the-cell-value-to-sap-field,"excel, vba, sap-gui",False
How to get text from status bar in SAP GUI,1675868441,-2,https://stackoverflow.com/questions/75387641/how-to-get-text-from-status-bar-in-sap-gui,"vba, sap-gui",True
Connection from Google Apps Script to SAP Business Client?,1675776001,1,https://stackoverflow.com/questions/75373955/connection-from-google-apps-script-to-sap-business-client,"function, google-apps-script, sap-gui, netweaver",False
Excel VBA / SAP GUI: how to get Value from Cell in SAP to Excel. &quot;Node?&quot;,1675686805,1,https://stackoverflow.com/questions/75361370/excel-vba-sap-gui-how-to-get-value-from-cell-in-sap-to-excel-node,"excel, vba, treeview, sap-gui, sap-erp",False
How to use the method GetCellValue of GuiGridView,1675686142,0,https://stackoverflow.com/questions/75361269/how-to-use-the-method-getcellvalue-of-guigridview,sap-gui,False
Open software in admin mode with python,1675448222,0,https://stackoverflow.com/questions/75339619/open-software-in-admin-mode-with-python,"python, subprocess, popen, sap-gui",False
Select the first 25 items of a certain column in SAP GUI whose name I know,1675435961,0,https://stackoverflow.com/questions/75337394/select-the-first-25-items-of-a-certain-column-in-sap-gui-whose-name-i-know,"vba, sap-gui",False
SAP Gui Script not accessing all data,1675351452,0,https://stackoverflow.com/questions/75325327/sap-gui-script-not-accessing-all-data,"python, sap-gui",False
Automatic Scroll SAP GUI,1675334191,0,https://stackoverflow.com/questions/75321875/automatic-scroll-sap-gui,"vba, sap-gui",False
How to log on a web app with SAP user&#39;s credentials?,1675304823,0,https://stackoverflow.com/questions/75318076/how-to-log-on-a-web-app-with-sap-users-credentials,"authentication, web-applications, sap-gui",False
pywin32 alternative in C# for SAP GUI automation?,1675272530,2,https://stackoverflow.com/questions/75313984/pywin32-alternative-in-c-for-sap-gui-automation,"python, c#, vba, vb.net, sap-gui",True
Python combobox value: if x=y then x=z,1675162180,0,https://stackoverflow.com/questions/75296021/python-combobox-value-if-x-y-then-x-z,"python, combobox, sap-gui",False
Where can I find the sap-ui-cachebuster-info.json file and how is it leveraged?,1675087680,0,https://stackoverflow.com/questions/75285594/where-can-i-find-the-sap-ui-cachebuster-info-json-file-and-how-is-it-leveraged,"sapui5, abap, sap-gui",False
Open the quotation of a supplier in ME49?,1674937710,2,https://stackoverflow.com/questions/75270655/open-the-quotation-of-a-supplier-in-me49,"excel, vba, sap-gui",True
SAP Script using loop,1674730841,0,https://stackoverflow.com/questions/75245224/sap-script-using-loop,"excel, vba, sap-gui",False
select until the last item in SAP GUI,1674647846,1,https://stackoverflow.com/questions/75233635/select-until-the-last-item-in-sap-gui,"excel, vba, sap-gui",True
Capture Existing SAP Client with C#,1674094860,0,https://stackoverflow.com/questions/75167169/capture-existing-sap-client-with-c,"c#, interop, sap-gui",False
VBScript Error Handling in For Each loops,1673874711,0,https://stackoverflow.com/questions/75134709/vbscript-error-handling-in-for-each-loops,"loops, error-handling, foreach, vbscript, sap-gui",False
Check if row in a SAP GUI GridView is selected,1673344561,-1,https://stackoverflow.com/questions/75068225/check-if-row-in-a-sap-gui-gridview-is-selected,"excel, vba, gridview, sap-gui",False
How do I fetch the text from a input in SAP GUI Desktop client using C#,1672905793,0,https://stackoverflow.com/questions/75015392/how-do-i-fetch-the-text-from-a-input-in-sap-gui-desktop-client-using-c,"c#, sap-gui",True
Interact with second tab of SAP GUI script,1672851615,0,https://stackoverflow.com/questions/75008786/interact-with-second-tab-of-sap-gui-script,"python, sap-gui",True
Extracting data from SAP spool to Excel using BAPI_XBP_JOB_SPOOLLIST_READ and VBA,1672146930,0,https://stackoverflow.com/questions/74929741/extracting-data-from-sap-spool-to-excel-using-bapi-xbp-job-spoollist-read-and-vb,"excel, vba, ui-automation, sap-gui, saprfc",False
copying data from sap to excel,1671347461,-1,https://stackoverflow.com/questions/74839675/copying-data-from-sap-to-excel,"excel, vba, sap-gui",False
Assign value of currently selected cell in SAP to variable in VBA,1671167325,0,https://stackoverflow.com/questions/74820410/assign-value-of-currently-selected-cell-in-sap-to-variable-in-vba,"excel, vba, sap-gui",True
RFC_CALL_TRANSACTION_USING to print to spool using VBA,1670195311,1,https://stackoverflow.com/questions/74681787/rfc-call-transaction-using-to-print-to-spool-using-vba,"excel, vba, ui-automation, sap-gui, saprfc",True
SAP GUI Scripting Close pop up window python,1669757793,0,https://stackoverflow.com/questions/74620504/sap-gui-scripting-close-pop-up-window-python,"python, sap-gui",True
SAPGUI Script that used to work is giving me Run time error&#39;91&#39;: object variable or with block variable not set**,1669593684,0,https://stackoverflow.com/questions/74594749/sapgui-script-that-used-to-work-is-giving-me-run-time-error91-object-variable,"excel, vba, excel-formula, sap-gui",False
"SAP, Python and PySide6 - GUI freezes when i execute another class with a long long process",1668935007,0,https://stackoverflow.com/questions/74506815/sap-python-and-pyside6-gui-freezes-when-i-execute-another-class-with-a-long-l,"python, multithreading, python-multithreading, pyside, sap-gui",True
Check if SAP Login Successfully,1665611648,1,https://stackoverflow.com/questions/74048356/check-if-sap-login-successfully,"vba, sap-gui",True
Replace customer ID with VBA variable in FindById() function?,1665577722,0,https://stackoverflow.com/questions/74041820/replace-customer-id-with-vba-variable-in-findbyid-function,"excel, vba, string, variant, sap-gui",True
Can SAP GUI Scripting Engine output macros in Javascript instead of Visual Basic?,1665470898,-1,https://stackoverflow.com/questions/74024047/can-sap-gui-scripting-engine-output-macros-in-javascript-instead-of-visual-basic,"javascript, excel, vba, sap-gui",False
Read RZ11 parameter sapgui/user_scripting,1665296021,1,https://stackoverflow.com/questions/74002501/read-rz11-parameter-sapgui-user-scripting,"vbscript, sap-gui",True
Running a script from the SAP Easy Access screen,1665073286,2,https://stackoverflow.com/questions/73977116/running-a-script-from-the-sap-easy-access-screen,"excel, vba, sap-gui",True
SAP Gui Scripting Looping,1665053090,0,https://stackoverflow.com/questions/73972520/sap-gui-scripting-looping,"excel, vba, user-interface, sap-gui",True
Excel SAP GUI - Automation Error Invalid Syntax,1664765207,2,https://stackoverflow.com/questions/73930705/excel-sap-gui-automation-error-invalid-syntax,"excel, vba, sap-gui, excel-automation",False
How to search row in GuiGridView,1664309350,-2,https://stackoverflow.com/questions/73873291/how-to-search-row-in-guigridview,"vba, sap-gui",False
Script SAP from an excel list,1664173243,-1,https://stackoverflow.com/questions/73850241/script-sap-from-an-excel-list,"excel, vba, sap-gui",True
CSADMIN has the create/change function disabled,1663790044,-1,https://stackoverflow.com/questions/73806267/csadmin-has-the-create-change-function-disabled,"sap-gui, sap-basis, netweaver",True
Using Powershell to add attributes inside an XML,1663607799,0,https://stackoverflow.com/questions/73777041/using-powershell-to-add-attributes-inside-an-xml,"xml, powershell, sap-gui",False
SAP GUI Java GetCellValue,1663053305,0,https://stackoverflow.com/questions/73698886/sap-gui-java-getcellvalue,"java, sap-gui",True
How to use exported data as input in SAP with VBA,1662532344,-1,https://stackoverflow.com/questions/73631017/how-to-use-exported-data-as-input-in-sap-with-vba,"excel, vba, sap-gui",True
Skip SAP GUI script code line if session.findById doesn&#39;t exist,1661838495,0,https://stackoverflow.com/questions/73537660/skip-sap-gui-script-code-line-if-session-findbyid-doesnt-exist,sap-gui,True
How to connect to OPEN workbook in another instance of Excel SAP Issue,1660909773,0,https://stackoverflow.com/questions/73416335/how-to-connect-to-open-workbook-in-another-instance-of-excel-sap-issue,"multiple-instances, save-as, sap-gui, excel-365",True
How to read/copy text from SAP shell container using vba?,1660880494,0,https://stackoverflow.com/questions/73411623/how-to-read-copy-text-from-sap-shell-container-using-vba,"excel, vba, sap-gui",False
# in Material Description for some materials which is causing alignment issue in SAP ABAP,1660716163,-1,https://stackoverflow.com/questions/73383551/in-material-description-for-some-materials-which-is-causing-alignment-issue-in,"abap, sap-gui, sap-erp, non-printing-characters",True
Saving an extracted value in a specific parameter file(data table) and using that file as an input for SAP GUI Loadrunner script,1659708729,-1,https://stackoverflow.com/questions/73251117/saving-an-extracted-value-in-a-specific-parameter-filedata-table-and-using-tha,"scripting, performance-testing, loadrunner, sap-gui",True
How To Press &quot;OK&quot; When Printing in SAP from Excel (SAP GUI Script),1659700681,0,https://stackoverflow.com/questions/73249408/how-to-press-ok-when-printing-in-sap-from-excel-sap-gui-script,"excel, vba, sap-gui",True
Green Check through SAP info box,1659469592,0,https://stackoverflow.com/questions/73212982/green-check-through-sap-info-box,"vba, sap-gui",False
Concatenating a string and numeric variable,1659464117,0,https://stackoverflow.com/questions/73211986/concatenating-a-string-and-numeric-variable,"vba, string-concatenation, sap-gui",True
LoadRunner - Calling One Script from another,1659081251,0,https://stackoverflow.com/questions/73163361/loadrunner-calling-one-script-from-another,"performance-testing, load-testing, loadrunner, sap-fiori, sap-gui",False
SAP pdf exporting,1658831809,0,https://stackoverflow.com/questions/73121870/sap-pdf-exporting,"excel, vba, sap-gui",True
VBA run time error &quot;614&quot; while looping through SAP table,1658772474,0,https://stackoverflow.com/questions/73113561/vba-run-time-error-614-while-looping-through-sap-table,"excel, vba, sap-gui",False
"SAP GUI Scripting, To find the given component number in a table and change its quantity",1658491414,0,https://stackoverflow.com/questions/73080060/sap-gui-scripting-to-find-the-given-component-number-in-a-table-and-change-its,"vba, sap-gui",False
Initialize a variable with the value of a screen field,1658313269,0,https://stackoverflow.com/questions/73050080/initialize-a-variable-with-the-value-of-a-screen-field,"excel, vba, copy, sap-gui",True
distinction between SAP servers VIA EXCEL VBA,1658137929,0,https://stackoverflow.com/questions/73020357/distinction-between-sap-servers-via-excel-vba,"excel, vba, loops, sap-gui",False
Java Automatization COM,1658136923,2,https://stackoverflow.com/questions/73020148/java-automatization-com,"java, sap-gui",False
VBA SAP &quot;user defined type not defined&quot;,1657568680,0,https://stackoverflow.com/questions/72943867/vba-sap-user-defined-type-not-defined,"vba, sap-gui",True
How to get the number of rows in a SAP Script when I don&#39;t know the table ID?,1657210800,0,https://stackoverflow.com/questions/72901204/how-to-get-the-number-of-rows-in-a-sap-script-when-i-dont-know-the-table-id,"vbscript, sap-gui",False
SAP GUI Scripting: new session from VBA,1656686040,0,https://stackoverflow.com/questions/72830843/sap-gui-scripting-new-session-from-vba,"vba, sap-gui",False
VBA SAP cannot retrive open connection: runtime error 614,1656410210,0,https://stackoverflow.com/questions/72784359/vba-sap-cannot-retrive-open-connection-runtime-error-614,"excel, vba, sap-gui",False
Disabling VBA alerts,1656364924,0,https://stackoverflow.com/questions/72778435/disabling-vba-alerts,"excel, vba, sap-gui",True
Can we set the resolution of the desktop when we disconnect from remote desktop?,1655559106,1,https://stackoverflow.com/questions/72669663/can-we-set-the-resolution-of-the-desktop-when-we-disconnect-from-remote-desktop,"remote-desktop, screen-resolution, sap-gui",False
Multiprocessing in SAP GUI using Python,1654615119,0,https://stackoverflow.com/questions/72533754/multiprocessing-in-sap-gui-using-python,"python, pywin32, sap-gui",True
SAP connection in VBA - Error 424 Object Required,1654199523,0,https://stackoverflow.com/questions/72481636/sap-connection-in-vba-error-424-object-required,"vba, sap-gui",True
event change - What is &quot;record mode&quot;?,1654192393,0,https://stackoverflow.com/questions/72480400/event-change-what-is-record-mode,"vba, sap-gui",True
How can I copy text with many characters to insert in a note in sap?,1650625564,0,https://stackoverflow.com/questions/71967761/how-can-i-copy-text-with-many-characters-to-insert-in-a-note-in-sap,"excel, vba, scripting, sap-gui",False
"SAP Logon from Excel, permissions missing?",1650549566,0,https://stackoverflow.com/questions/71955784/sap-logon-from-excel-permissions-missing,"excel, vba, sap-gui",False
How to insert (flexible) data into S/4HANA from cells in an Excel file with VBA code?,1650448225,0,https://stackoverflow.com/questions/71937554/how-to-insert-flexible-data-into-s-4hana-from-cells-in-an-excel-file-with-vba,"excel, vba, sap-gui",False
SAP GUI install that will create a directory and copy the file in an SCCM install,1649437287,0,https://stackoverflow.com/questions/71800797/sap-gui-install-that-will-create-a-directory-and-copy-the-file-in-an-sccm-instal,"powershell, directory, copy, sccm, sap-gui",False
Excel VBA cannot complete an export in xlsx from SAP,1649320606,0,https://stackoverflow.com/questions/71778868/excel-vba-cannot-complete-an-export-in-xlsx-from-sap,"excel, vba, save, xlsx, sap-gui",False
Why am I getting an invalid procedure or call error in my VBA code to link to SAP,1649182640,0,https://stackoverflow.com/questions/71756596/why-am-i-getting-an-invalid-procedure-or-call-error-in-my-vba-code-to-link-to-sa,"excel, vba, sap-gui",False
